ID,Traditional,Simplified,Pinyin,POS,Meaning
L2-0001,啊,啊,a,,"ah, an exclamation"
L2-0002,阿姨,阿姨,āyí,N,"one's mother's sister, auntie"
L2-0003,矮,矮,ǎi,Vs,"short (of stature), low"
L2-0004,愛,爱,ài,Vs,to love / be apt to
L2-0005,安靜,安静,ānjìng,Vs,"to be quiet, calm, peaceful"
L2-0006,安全,安全,ānquán,Vs,"safety / to be safe, secure"
L2-0007,吧,吧,ba,,"question particle, implying probability / sentence suffix, indicating a request"
L2-0008,八,八,bā,,eight
L2-0009,把,把,bǎ,Prep,indicating pre-verbal object as thing dealt with by the action
L2-0010,爸爸,爸爸,bàba,N,father
L2-0011,白,白,bái,N/Vs,white/to be white
L2-0012,百,百,bǎi,,hundred
L2-0013,百貨公司,百货公司,bǎihuògōngsī,N,department store
L2-0014,班,班,bān,M/N,measure word for a group of organized people.
L2-0015,搬,搬,bān,V,to move
L2-0016,半,半,bàn,,half
L2-0017,辦法,办法,bànfǎ,N,"method, way of doing sth"
L2-0018,辦公室,办公室,bàngōngshì,N,office
L2-0019,幫,帮,bāng,V,"to help, to assist"
L2-0020,幫忙,帮忙,bāngmáng,V,to help sb do sth
L2-0021,棒,棒,bàng,Vs,"good; fine; excellent, great!"
L2-0022,棒球,棒球,bàngqiú,N,baseball
L2-0023,包,包,bāo,M/V,"package of, parcel of/to wrap, to contain"
L2-0024,包子,包子,bāozi,N,steamed pork bun
L2-0025,飽,饱,bǎo,Vs,to be full (after eating)
L2-0026,抱,抱,bào,V,"to hug, to embrace, to hold or carry in one's arms"
L2-0027,報紙,报纸,bàozhǐ,N,"newspaper, newsprint"
L2-0028,杯,杯,bēi,M,A cup of
L2-0029,杯子,杯子,bēizi,N,cup
L2-0030,北,北,běi,N,north
L2-0031,被,被,bèi,Prep,a passive voice indicator
L2-0032,本,本,běn,M,individual measure word for books or magazines etc
L2-0033,本子,本子,běnzi,N,"book, notebook, edition"
L2-0034,筆,笔,bǐ,N,pen
L2-0035,比,比,bǐ,Prep,"to compare; compared to, than"
L2-0036,比較,比较,bǐjiào,Adv,comparatively; to compare
L2-0037,邊,边,biān,N,side
L2-0038,遍,遍,biàn,M,measure word for the course of an action from the beginning to the end.
L2-0039,錶,表,biǎo,N,watch
L2-0040,別,别,bié,Adv,don't
L2-0041,別人,别人,biérén,N,other people
L2-0042,冰箱,冰箱,bīngxiāng,N,refrigerator
L2-0043,餅乾,饼干,bǐnggān,N,"biscuit, cracker, cookie"
L2-0044,病,病,bìng,N,"illness, disease"
L2-0045,病人,病人,bìngrén,N,patient
L2-0046,必須,必须,bìxū,Adv,must
L2-0047,不,不,bù,Adv,"not, no"
L2-0048,不錯,不错,bùcuò,Vs,"to be not bad, pretty good"
L2-0049,不但,不但,bùdàn,Conj,not only
L2-0050,不客氣,不客气,bùkèqì,V,you're welcome
L2-0051,不用,不用,bùyòng,Adv,"need not, don't have to"
L2-0052,不,不,bù,Adv,"not, no"
L2-0053,不好意思,不好意思,bùhǎoyìsi,Vs,to feel embarrassed; to be ill at ease
L2-0054,不一定,不一定,bùyīdìng,Adv,"uncertain, not for sure, not necessarily"
L2-0055,擦,擦,cā,V,"to rub, to wipe, to clean"
L2-0056,猜,猜,cāi,V,"guess, suspect"
L2-0057,才,才,cái,Adv,"not until, only then, only, merely"
L2-0058,菜,菜,cài,N,"food, cuisine"
L2-0059,菜單,菜单,càidān,N,menu
L2-0060,參加,参加,cānjiā,V,"to attend, to participate"
L2-0061,餐廳,餐厅,cāntīng,N,restaurant
L2-0062,餐桌,餐桌,cānzhuō,N,dining table
L2-0063,草,草,cǎo,N,grass
L2-0064,草地,草地,cǎodì,N,lawn
L2-0065,常,常,cháng,Adv,"often, usually, generally"
L2-0066,常常,常常,chángcháng,Adv,"often, frequently"
L2-0067,唱歌,唱歌,chànggē,V,sing
L2-0067,唱歌兒,唱歌儿,chànggēr,V,sing
L2-0068,超級市場,超级市场,chāojíshìchǎng,N,supermarket
L2-0069,吵,吵,chǎo,Vs,"to make a noise, to disturb, to quarrel/to be noisy"
L2-0070,成績,成绩,chéngjī,N,"grade (at school), academic record, achievement"
L2-0071,城市,城市,chéngshì,N,city
L2-0072,襯衫,衬衫,chènshān,N,a dress shirt or a collared blouse with buttons
L2-0073,吃,吃,chī,V,to eat
L2-0074,吃飽,吃饱,chībǎo,Vs,satiate; full
L2-0075,遲到,迟到,chídào,Vs,to be late/arrive late
L2-0076,出,出,chū,V,to go or come out
L2-0077,出國,出国,chūguó,V,go abroad (from one's own country)
L2-0078,出來,出来,chūlái,V,to come out
L2-0079,出去,出去,chūqù,V,"to go out, to leave"
L2-0080,廚房,厨房,chúfáng,N,kitchen
L2-0081,穿,穿,chuān,V,"to wear, to put on"
L2-0082,船,船,chuán,N,"ship, boat"
L2-0083,窗,窗,chuāng,N,window
L2-0083,窗戶,窗户,chuānghù,N,window
L2-0084,床,床,chuáng,N,bed
L2-0085,春天,春天,chūntiān,N,"spring, springtime"
L2-0086,吹,吹,chuī,V,"blow, puff, play (wind instruments)"
L2-0087,次,次,cì,M,measure word for the number of repetitions in a given period of time
L2-0088,聰明,聪明,cōngmíng,Vs,to be intelligent
L2-0089,從,从,cóng,Prep,from
L2-0090,從前,从前,cóngqián,N,"formerly, in the past, used to"
L2-0091,錯,错,cuò,Vs,to be wrong/mistake
L2-0092,打,打,dǎ,V,"to hit, to beat, to strike"
L2-0093,打開,打开,dǎkāi,V,to open up
L2-0094,打掃,打扫,dǎsǎo,V,"to sweep, to clean"
L2-0095,打算,打算,dǎsuàn,V,to plan
L2-0096,大,大,dà,Vs,"to be big, to be large"
L2-0097,大家,大家,dàjiā,N,everyone
L2-0098,大聲,大声,dàshēng,Vs,loud voice
L2-0099,大學,大学,dàxué,N,university
L2-0100,大衣,大衣,dàyī,N,"overcoat, topcoat"
L2-0101,帶,带,dài,V,to bring
L2-0102,戴,戴,dài,V,"to wear (hat, watch, jewelry etc)"
L2-0103,袋子,袋子,dàizi,N,"bag, sack"
L2-0104,蛋,蛋,dàn,N,egg
L2-0105,蛋糕,蛋糕,dàngāo,N,cake
L2-0106,但是,但是,dànshì,Conj,"but, still, however"
L2-0107,當然,当然,dāngrán,Adv,of course
L2-0108,刀叉,刀叉,dāochā,N,knife and fork
L2-0109,倒,倒,dǎo,V,"to pour, to dump out"
L2-0110,到,到,dào,V/Prep,"to reach, to arrive/to leave for"
L2-0111,的,的,de,,possessive or modifying particle
L2-0112,得,得,de,,a particle used between a verb or adjective and its complement to indicate manner or degree
L2-0113,德國,德国,Déguó,N,"Germany, German"
L2-0114,等,等,děng,V,to wait
L2-0115,低,低,dī,Vs,to be low
L2-0116,地,地,dì,N,"the earth, land, soil, fields, ground, place, position, background, distance"
L2-0117,第,第,dì,,a prefix for ordinal numbers
L2-0118,弟弟,弟弟,dìdi,N,younger brother
L2-0119,掉,掉,diào,Vs,"drop, fall, come off, lose, be missing, fall behind, change, turn"
L2-0120,點,点,diǎn,M/N,partial measure word for a small quantity of things.
L2-0120,點兒,点儿,diǎnr,M/N,partial measure word for a small quantity of things.
L2-0121,點菜,点菜,diǎncài,V,to order food
L2-0122,點心,点心,diǎnxīn,N,"a snack, light refreshment"
L2-0123,點鐘,点钟,diǎnzhōng,M,o'clock
L2-0124,店,店,diàn,N,"store, shop"
L2-0125,電,电,diàn,N,electricity
L2-0126,電燈,电灯,diàndēng,N,electric lamp / light
L2-0127,電話,电话,diànhuà,N,"telephone, call"
L2-0128,電腦,电脑,diànnǎo,N,computer
L2-0129,電視,电视,diànshì,N,television set
L2-0129,電視機,电视机,diànshìjī,N,television set
L2-0130,電影,电影,diànyǐng,N,movie
L2-0131,電影院,电影院,diànyǐngyuàn,N,"cinema, movie(house)"
L2-0132,地方,地方,dìfāng,N,place
L2-0133,地上,地上,dìshàng,N,ground
L2-0134,地圖,地图,dìtú,N,map
L2-0135,東,东,dōng,N,east
L2-0135,東邊,东边,dōngbiān,N,east
L2-0136,冬天,冬天,dōngtiān,N,"winter, wintertime"
L2-0137,東西,东西,dōngxī,N,thing
L2-0138,懂,懂,dǒng,Vs,to understand
L2-0139,動,动,dòng,V,to move; to be moved
L2-0140,動物,动物,dòngwù,N,animal
L2-0141,動物園,动物园,dòngwùyuán,N,zoo
L2-0142,都,都,dōu,Adv,"all, both"
L2-0143,讀,读,dú,V,to read; to go to/attend school or college
L2-0144,短,短,duǎn,Vs,to be short
L2-0145,讀書,读书,dúshū,V,"to study, to read"
L2-0146,肚子,肚子,dùzi,N,"stomach, belly, abdomen"
L2-0147,對,对,duì,Vs,"answer, reply, treat"
L2-0148,對不起,对不起,duìbùqǐ,V,I'm sorry; Excuse me
L2-0149,對面,对面,duìmiàn,N,"the other side, place across from"
L2-0150,多,多,duō,Adv/Vs,"more than the correct, required number, much, far more/many, much, more"
L2-0151,多少,多少,duōshǎo,Adv,"how much, how many"
L2-0152,朵,朵,duǒ,M,individual measure word for cloudand flowers
L2-0153,餓,饿,è,Vs,to be hungry
L2-0154,二,二,èr,,two
L2-0155,兒子,儿子,érzi,N,son
L2-0156,耳朵,耳朵,ěrduo,N,ear
L2-0157,發生,发生,fāshēng,Vs,"to happen, to occur, take place"
L2-0158,發現,发现,fāxiàn,V,to discover
L2-0159,法國,法国,Fǎguó,N,"France, French"
L2-0160,飯,饭,fàn,N,"food, meal"
L2-0161,飯店,饭店,fàndiàn,N,"hotel, restaurant"
L2-0162,方便,方便,fāngbiàn,Vs,to be convenient
L2-0163,方法,方法,fāngfǎ,N,"method, way, means"
L2-0164,房子,房子,fángzi,N,house
L2-0164,房,房,fáng,N,house
L2-0165,房間,房间,fángjiān,N,room
L2-0166,放,放,fàng,V,"to put, to release"
L2-0167,放假,放假,fàngjià,V,"to have a holiday, vacation"
L2-0168,放下,放下,fàngxià,V,to lay down; to put down; to let sth. down; to lower; to set down
L2-0169,飛,飞,fēi,V,to fly
L2-0170,飛機,飞机,fēijī,N,airplane
L2-0171,非常,非常,fēicháng,Adv,"very, extremely"
L2-0172,分,分,fēn,M,minute
L2-0172,分鐘,分钟,fēnzhōng,M,minute
L2-0173,封,封,fēng,M,"measure word for letters, telegrams etc"
L2-0174,風,风,fēng,N,wind
L2-0175,風景,风景,fēngjǐng,N,"scenery, view landscape"
L2-0176,服務生,服务生,fúwùshēng,N,"attendant, service person, waiter"
L2-0177,附近,附近,fùjìn,N,nearby
L2-0178,父親,父亲,fùqīn,N,father
L2-0179,改,改,gǎi,V,"to change, to alter, to correct"
