# Corrections to pinyin in upstream wordlists
Traditional,Pinyin,Corrected

# 國立/過節 - swapped entries
國立,guòjié,guólì
過節,guólì,guòjié

# Incorrect pinyin
供給,gōnjǐ,gōngjǐ
情況,qǐngjià,qíngkuàng
木刻,mùkē,mùkè
教誨,jiàohuǐ,jiàohuì
受得了,shòudeliao,shòudeliǎo
# Follow dict.concised.moe.edu.tw
新鮮,xīnxian,xīnxiān
白天,báitian,báitiān
麻煩,máfan,máfán
多多少少,duōduoshǎoshǎo,duōduōshǎoshǎo
# 份 is always [fèn], give both variants
部分/部份,bùfen,bùfen / bùfèn
# 差 colloquial vs literal pronunciation, give both variants as untoned is plain wrong
# cha,Vs-pred (inferior, poor) -> chà / chā
# chā,N (difference) -> unchanged
差,cha,chà / chā
#差不多,chabùduō,chàbuduō / chābùduō
# Follow https://dict.concised.moe.edu.tw/dictView.jsp?ID=31522
差不多,chabùduō,chābùduō
# Inconsistent tone change
要不是,yàobúshì,yàobùshì

# Incorrect diacritic position in pinyin
漂亮,piàolìang,piàoliàng
比方說,bǐfāngshūo,bǐfāngshuō
熟悉,shoúxī,shóuxī

# TOCFL 2018
一會兒,yīhuǐér,yīhuǐr
骯髒,āngzhāng,āngzāng
乒乓球,pīng pāngqiú,pīngpāngqiú
力量,lìlìang,lìliàng
交代,jiāodai,jiāodài
正經,zhèngjing,zhèngjīng
燈籠,dēnglong,dēnglóng
見證,jiànzheng,jiànzhèng
氣派,qìpai,qìpài
體諒,tǐliang,tǐliàng
謠言,yáoyan,yáoyán
部分/份,bùfen,bùfen / bùfèn
# for consistency; toneless also ok
走走,zǒuzou,zǒuzǒu
喉嚨,hóulong,hóulóng

# CCCC
# [shéme] a possible variant, but rare/unorthodox
# https://dict.revised.moe.edu.tw/dictView.jsp?ID=131338&q=1&word=%E4%BB%80%E9%BA%BC
# https://dict.concised.moe.edu.tw/dictView.jsp?ID=34679&q=1
什麼,shéme,shénme
為什麼,wèishéme,wèishénme
去年,qùnian,qùnián
陰天,yintiān,yīntiān
背,bèi/bei,bèi/bēi
盤子,pánzhi,pánzi
