ID,Traditional,Simplified,Pinyin,POS,Meaning,Category,Subcategory,Variants
L1-001,人,人,rén,N,person,人物,人物,
L1-002,你,你,nǐ,Pron,you,人物,人物,
L1-003,我,我,wǒ,Pron,"I, me",人物,人物,
L1-004,他/她,他/她,tā,Pron,"he/she, him/her",人物,人物,"[{""Traditional"": ""他"", ""Simplified"": ""他"", ""Pinyin"": ""tā""}, {""Traditional"": ""她"", ""Simplified"": ""她"", ""Pinyin"": ""tā""}]"
L1-005,您,您,nín,Pron,(polite form of address) you,人物,人物,
L1-006,們,们,men,Affix,plural affix,人物,人物,
L1-007,大家,大家,dàjiā,N,everyone,人物,人物,
L1-008,誰,谁,shéi,N,"who, sb",人物,人物,
L1-009,名字,名字,míngzì/míngzi,N,name,人物,人物,"[{""Traditional"": ""名字"", ""Simplified"": ""名字"", ""Pinyin"": ""míngzì""}, {""Traditional"": ""名字"", ""Simplified"": ""名字"", ""Pinyin"": ""míngzi""}]"
L1-010,先生,先生,xiānsheng/xiānshēng,N,Mr.,人物,人物,"[{""Traditional"": ""先生"", ""Simplified"": ""先生"", ""Pinyin"": ""xiānsheng""}, {""Traditional"": ""先生"", ""Simplified"": ""先生"", ""Pinyin"": ""xiānshēng""}]"
L1-011,小姐,小姐,xiǎojiě,N,Miss,人物,人物,
L1-012,太太,太太,tàitai,N,Mrs.,人物,人物,
L1-013,女(生)/女孩,女(生)/女孩,nǚ(shēng)/nǚhái,N,girl,人物,人物,"[{""Traditional"": ""女"", ""Simplified"": ""女"", ""Pinyin"": ""nǚ""}, {""Traditional"": ""女生"", ""Simplified"": ""女生"", ""Pinyin"": ""nǚshēng""}, {""Traditional"": ""女孩"", ""Simplified"": ""女孩"", ""Pinyin"": ""nǚhái""}]"
L1-014,男(生)/男孩,男(生)/男孩,nán(shēng)/nánhái,N,boy,人物,人物,"[{""Traditional"": ""男"", ""Simplified"": ""男"", ""Pinyin"": ""nán""}, {""Traditional"": ""男生"", ""Simplified"": ""男生"", ""Pinyin"": ""nánshēng""}, {""Traditional"": ""男孩"", ""Simplified"": ""男孩"", ""Pinyin"": ""nánhái""}]"
